Sports & Leisure: What New York Yankees captain died when he crashed his plane short of the runway?|Thurman Munson
Trivia: How many months does the average worker ant live?|3
Trivia: What color is a giraffe's tongue?|black
Trivia: Curious George's friend was The Man in the what color hat?|yellow
Trivia: There are more insects in one square mile of rural land than there are human beings on the entire earth. True or false?|true
Trivia: What is the greatest number of regulation baseballs a person has ever held in one hand?|9
Trivia: What color blood does Mr. Spock have?|green
Trivia: How many countries are there in Central America?|7
Trivia: What two colors make up the flag of Japan?|red and white
Trivia: How many countries in South America border the Pacific Ocean?|4
Trivia: Spiders never spin webs in structures made of chestnut wood. True or false?|true
Trivia: The card game Twenty-one is also known as what?|blackjack
Trivia: How many feet tall is the average giraffe at birth?|6
Trivia: More people are killed each year by honeybees than by poisonous snakes. True or false?|true
Trivia: How many books in the Torah?|5
Trivia: How many pounds of milk does it take to make a pound of natural cheese?|10
Trivia: The deer botfly can fly faster than a jet plane. True or false?|true
Trivia: On Sesame Street, what color is Elmo's nose?|orange
Trivia: How many pints of saliva does the average human mouth produce daily?|2
Trivia: "Smoke on the Water" was recorded by which group?|Deep Purple
Trivia: How many eyelids do birds have on each eye?|3
Trivia: What color is the outside of a primary rainbow?|red
Trivia: What is the closest foreign country to Alaska?|Canada
Trivia: What year did World War I (WWI) start in?|1914
Trivia: How many rows of pins are there in tenpin bowling?|4
Trivia: Who composed "Twinke, Twinkle, Little Star" at the age of five?|Wolfgang Mozart
Trivia: What's the motto of the Boy Scouts?|Be prepared
Trivia: What was Paul Bunyan's ox's name?|Babe
Trivia: What state is Mount McKinley in?|Alaska
Trivia: What nationality was Aladdin?|Chinese
Trivia: What's the world's largest coral reef?|The Great Barrier Reef
Trivia: Who did Lurch work for?|The Addams family
Trivia: How many US states border California?|3
Trivia: What's the capital of the Netherlands?|Amsterdam
Trivia: What phrase does Dorothy repeat as she clicks her ruby shoes to return to Kansas?|There's no place like home
Trivia: Do mosquitoes have teeth?|Yes
Trivia: What's the second-largest continent?|Africa
Trivia: Who does Alice follow down the hole?|The White Rabbit
Trivia: How many sides does a hexagon have?|6
Trivia: What was the motto of the Three Musketeers?|All for one, one for all
Trivia: What are the clay targets in trap shooting called?|Pigeons
Trivia: What has 1,792 steps?|The Eiffel Tower
Trivia: What do you take Dramamine for?|Motion sickness
Trivia: What did the Seven Dwarfs do for a living?|They were miners
Trivia: What did the three little kittens lose?|Their mittens
Trivia: What zone varies from batter to batter in baseball?|The strike zone
Trivia: What US State includes the San Juan Islands?|Washington
Trivia: What is the most commonly-used punctuation mark?|The comma
Trivia: What term describes an animal with a constant blood temperature?|Warm blooded
Trivia: What is the largest artery in the human body?|The aorta
Trivia: How many bones are there in the human body?|206
Trivia: What desert embraces the sunniest spot on the Earth?|The Sahara
Trivia: What musical group did the Wilson brothers form in 1961?|The Beach Boys
Trivia: What Dr. Seuss character steals Christmas?|The Grinch
Trivia: What's removed in a splenectomy?|The spleen
Trivia: What's the world's largest and heaviest animal?|The blue whale
Trivia: What's the only bird that gives us leather?|The ostrich
Trivia: What's the primary color with the shortest name?|Red
Trivia: What's the Roman Numeral for 64?|LXIV
Trivia: Where is the human skin the thickest?|The back
Trivia: Where does Yogi Bear live?|Jellystone National park
Trivia: Who lived at 221B Baker Street?|Sherlock Holmes
Trivia: How many holes are there in a tenpin bowling ball?|3
Trivia: What bird's a symbol of peace?|The dove
Trivia: When Sherlock Holmes is stumped, who does he turn to?|his brother, Mycroft Holmes
Trivia: You PING a computer on a network - what are the letters PING an acronym for?|Packet INternet Groper
Trivia: Who, along with Bill Gates, started Microsoft?|Paul Allen
Trivia: In "The Emperor's New Groove", who did the voice for Pacha, the villager?|John Goodman
Trivia: What do you call the smiley face and other symbols you type on the computer?|Emoticons
Trivia: How many bytes are in one kilobyte (KB)?|1024
Trivia: What would you use a Self Contained Underwater Breathing Apparatus for?|Scuba diving
Trivia: What frequency, used by phone hackers to make free calls, is the name of a hacker magazine?|2600
Trivia: What dial-up service was used by the characters in "You've Got Mail"?|America Online
Trivia: What is the altitude of Mount Everest?|29,028 feet or 8848 meters
Geography: Which mountains is the range where vicunas live?|The Andes
History: Who was the first woman to win a Nobel Prize?|Marie Curie
Literature: Who wrote LES MISERABLES?|Victor Hugo
Literature: Who wrote PETER PAN?|J. M. Barrie
History: Who was Israel's first prime minister?|David Ben-Gurion
Literature: What was the pen name of Charles Dodgson?|Lewis Carroll
TheWorld: Who is the current leader of Cuba?|Fidel Castro
Literature: Who wrote DON QUIXOTE?|Miguel de Cervantes
History: Who lead the Indians at the battle of Little Bighorn?|Chief Sitting Bull
History: Who took his army over the Alps in 221 B.C.?|Hannibal
Literature: Who wrote WINNIE THE POOH?|A. A. Milne
History: Who "fiddled" while Rome burned?|Nero
Literature: Who wrote the novel NINETEEN EIGHTY-FOUR?|George Orwell
Science & Nature: What is Wilhelm Rontgen known for discovering?|X-rays
History: In 1483 Torquemada was placed in charge of what?|The Spanish Inquistion
Geography: Panama was originally a province of what country?|Columbia
History: In what year did the Bahamas become a formal British colony?|1783
History: When did the Bahamas become independant?|July 10, 1973
Geography: What is the capital of Brazil?|Brasilia
History: What country is Europe's oldest kingdom?|Denmark
History: In what year did East and West Germany re-unite?|1990
Holidays: When is Bastille Day celebrated?|July 14 (1789)
History: What country has the Grimaldi family ruled since the 13th century?|Monaco
TheWorld: Which country has the only flag which is NOT rectangular or square?|Nepal (it has 2 connected triangles
TheWorld: How many stars are there on the Austrailian flag?|6 (5 for the Southern Cross and 1 Commonwealth star)
UnitedStates: What state is the Mayo Clinic located in?|Minnesota, USA
Arts & Entertainment: Barry Humphries is better known under what name?|Dame Edna
Science & Nature: In the sequence 2, 3, 5, 7, 11, 13, what number comes next?|17
UnitedStates: Who was the first woman Supreme Court Justice in the U.S.?|Sandra Day O'Connor
History: Who was the first person to reach the South Pole?|Roald Amundsen (on Dec 13, 1911)
History: When did Henry VIII rule?|1509 - 1547
History: Which family ruled Russia from 1613 to 1917?|Romanov
Arts & Entertainment: What are the names of Donald Duck's nephews?|Huey, Dewey, and Louie
Science & Nature: How many of our years does it take for Pluto to circle the sun once?|248 earth years
TheWorld: What is the capital of Nova Scotia, Canada?|Halifax
Science & Nature: Which animal kills more people per year, world wide, than any other?|snakes
UnitedStates: What year was the first U.S. census taken?|1790
TheWorld: Which country uses a Tugrik for money?|Mongolia
TheWorld: In which country is Pashto and Dari spoken?|Afghanistan
TheWorld: Which country uses a Yen for money?|Japan
Arts & Entertainment: Which singer's fans are called Parrot Heads?|Jimmy Buffett
Literature: In the book and movie titled FAIL SAFE which two cities are bombed?|Moscow and New York
World: What country was hit by a devastating earthquake on August 17, 1999, killing at least 16,000 people?|Turkey
Science & Nature: What caused West Virginia and portions of 5 other states to be declared disaster areas in the summer of 1999?|drought
Science & Nature: The oldest person to ever travel through space landed at Cape Canaveral Nov 7th, 1998 after a 10 day mission. Who was this person?|John Glenn
UnitedStates: For the 3rd time in less than 2 months, what did the Federal Reserve Board announce on November 17, 1998?|A cut in interest rates
World: On Nov 15, 1998 bombers were called back from an aerial assault on what country after it again conceeded to allow inspections by the UN Special Commission?|Iraq
World: Attempts to register what political party in China have caused harassment of it's supporters by Chinese authorities?|China Democratic Party
Nature & Science: What plowed through Central America in late October 1998 causing wide-spread devastation?|Hurricane Mitch
World: What 2 oil-industry giants announced plans to merge on December 1, 1998?|Mobil and Exxon
World: Ceeded to the United States by the 1898 Treaty of Paris, what country's people were given the opportunity to express their preference as to the country's future political status on December 13, 1998?|Puerto Rico
History: What do Nara, Fujiwara and Edo have in common?|They are all Japanese historical periods
History: In what year did Napoleon abdicate the throne of France?|1814
Computers: What was the most visited website in 1999?|www.yahoo.com
World: In what country would you find Seikan; the world's longest railroad tunnel?|Japan
World: What country is the Aswan High Dam in?|Egypt
BlackHistory: In 1957 President Eisenhower sent federal troops to intervene for 9 black students trying to enter Central High School for classes in what city?|Little Rock, Arkansas
BlackHistory: Who was the Alabama govenor that physically blocked 2 black students from registering for classes at the University of Alabama in 1963?|George Wallace
BlackHistory: Generally considered the mother of the Civil Rights Movement, in 1955 this courageous lady refused to give up her seat on a bus to a white man in Montgomery, Alabama.|Rosa Parks
BlackHistory: Sent out by the Congress of Racial Equality in 1961, these student volunteers went on bus trips to test the new laws prohibiting segregation in interstate travel facilities. What were they called?|Freedom Riders
BlackHistory: In August, 1963, Martin Luther King, Jr. gave a speech to 250,000 listeners in front of the Lincoln Memorial. What title is this speech commonly know by?|I Have A Dream
BlackHistory: In what year did President Lyndon Johnson sign the Civil Rights Act making segregation in public facilities and discrimination in employment illegal?|1964
BlackHistory: A peacful march from Selma to Montgomery, Alabama in support of voting rights for Blacks was blocked by police using tear gas, whips and clubs. The media dubbed this incident with what title?|Bloody Sunday
